julho 1994;6.84
agosto 1994;1.86
setembro 1994;1.53
outubro 1994;2.62
novembro 1994;2.81
dezembro 1994;1.71
janeiro 1995;1.7
fevereiro 1995;1.02
março 1995;1.55
abril 1995;2.43
maio 1995;2.67
junho 1995;2.26
julho 1995;2.36
agosto 1995;0.99
setembro 1995;0.99
outubro 1995;1.41
novembro 1995;1.47
dezembro 1995;1.56
janeiro 1996;1.34
fevereiro 1996;1.03
março 1996;0.35
abril 1996;1.26
maio 1996;1.22
junho 1996;1.19
julho 1996;1.11
agosto 1996;0.44
setembro 1996;0.15
outubro 1996;0.3
novembro 1996;0.32
dezembro 1996;0.47
janeiro 1997;1.18
fevereiro 1997;0.5
março 1997;0.51
abril 1997;0.88
maio 1997;0.41
junho 1997;0.54
julho 1997;0.22
agosto 1997;-0.02
setembro 1997;0.06
outubro 1997;0.23
novembro 1997;0.17
dezembro 1997;0.43
janeiro 1998;0.71
fevereiro 1998;0.46
março 1998;0.34
abril 1998;0.24
maio 1998;0.5
junho 1998;0.02
julho 1998;-0.12
agosto 1998;-0.51
setembro 1998;-0.22
outubro 1998;0.02
novembro 1998;-0.12
dezembro 1998;0.33
janeiro 1999;0.7
fevereiro 1999;1.05
março 1999;1.1
abril 1999;0.56
maio 1999;0.3
junho 1999;0.19
julho 1999;1.09
agosto 1999;0.56
setembro 1999;0.31
outubro 1999;1.19
novembro 1999;0.95
dezembro 1999;0.6
janeiro 2000;0.62
fevereiro 2000;0.13
março 2000;0.22
abril 2000;0.42
maio 2000;0.01
junho 2000;0.23
julho 2000;1.61
agosto 2000;1.31
setembro 2000;0.23
outubro 2000;0.14
novembro 2000;0.32
dezembro 2000;0.59
janeiro 2001;0.57
fevereiro 2001;0.46
março 2001;0.38
abril 2001;0.58
maio 2001;0.41
junho 2001;0.52
julho 2001;1.33
agosto 2001;0.7
setembro 2001;0.28
outubro 2001;0.83
novembro 2001;0.71
dezembro 2001;0.65
janeiro 2002;0.52
fevereiro 2002;0.36
março 2002;0.6
abril 2002;0.8
maio 2002;0.21
junho 2002;0.42
julho 2002;1.19
agosto 2002;0.65
setembro 2002;0.72
outubro 2002;1.31
novembro 2002;3.02
dezembro 2002;2.1
janeiro 2003;2.25
fevereiro 2003;1.57
março 2003;1.23
abril 2003;0.97
maio 2003;0.61
junho 2003;-0.15
julho 2003;0.2
agosto 2003;0.34
setembro 2003;0.78
outubro 2003;0.29
novembro 2003;0.34
dezembro 2003;0.52
janeiro 2004;0.76
fevereiro 2004;0.61
março 2004;0.47
abril 2004;0.37
maio 2004;0.51
junho 2004;0.71
julho 2004;0.91
agosto 2004;0.69
setembro 2004;0.33
outubro 2004;0.44
novembro 2004;0.69
dezembro 2004;0.86
janeiro 2005;0.58
fevereiro 2005;0.59
março 2005;0.61
abril 2005;0.87
maio 2005;0.49
junho 2005;-0.02
julho 2005;0.25
agosto 2005;0.17
setembro 2005;0.35
outubro 2005;0.75
novembro 2005;0.55
dezembro 2005;0.36
janeiro 2006;0.59
fevereiro 2006;0.41
março 2006;0.43
abril 2006;0.21
maio 2006;0.1
junho 2006;-0.21
julho 2006;0.19
agosto 2006;0.05
setembro 2006;0.21
outubro 2006;0.33
novembro 2006;0.31
dezembro 2006;0.48
janeiro 2007;0.44
fevereiro 2007;0.44
março 2007;0.37
abril 2007;0.25
maio 2007;0.28
junho 2007;0.28
julho 2007;0.24
